"ACTOR1","ACTOR2","COUNTRY","EVENT_DATE","EVENT_ID_CNTY","EVENT_TYPE","ISO","LOCATION","NOTES","SUB_EVENT_TYPE","YEAR","annotation_id","annotator","created_at","id","lead_time","max_partviolence","max_secengagement","mmad_issue","mmad_max_scope","mmad_mean_avg_numparticipants","mmad_side","mmd_participants","mmd_participants_category","mmd_protesterdemand_1","mmd_protesterdemand_2","mmd_protesteridentity","mmd_protesterviolence","mmd_protestnumber","mmd_stateresponse_1","mmd_stateresponse_2","navco_camp_goals","navco_damage","navco_fatal_casu","navco_injuries","navco_num_partic_event","navco_nv_categ","navco_nv_commission","navco_nv_concentration","navco_nv_tactic_ns","navco_st_posture","navco_tactic_choice","navco_v_tactic_ns","scad_cgovtarget","scad_escalation","scad_etype","scad_gender_tags","scad_issues_1","scad_issues_2","scad_ndeath","scad_npart","scad_repress","scad_rgovtarget","updated_at"
"Protesters (United States)","","United States","2020-06-07","USA8852","Protests",840,"Pasadena","On 7 June 2020, in Pasadena (California), people marched in protest over the killing of George Floyd, who died after being pinned down by a white police officer. The protest was part of the Black Lives Matter movement, demanding justice for Floyd and other black Americans who have fallen victim to police brutality.","Peaceful protest",2020,259,"1","2025-07-30T14:02:24.312533Z",1201,74.976,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:02:24.312555Z"
"Protesters (United States)","","United States","2020-06-07","USA14754","Protests",840,"Hillside","On 7 June 2020, people took part in a protest in Hillside (New Jersey) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,260,"1","2025-07-30T14:03:28.730300Z",1202,62.662,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:03:28.730323Z"
"Protesters (United States)","","United States","2020-06-06","USA8152","Protests",840,"Anacortes","On 6 June 2020, at least 200 people staged a protest in Anacortes (Washington) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,261,"1","2025-07-30T14:44:05.707799Z",1203,90.209,"NA","NA","against:police brutality","national","atleast 200","anti-gov","atleast 200","100-999","police_brutality","","Black lives matter","no","[{""number"":200}]","ignore","","policy_change","","","","atleast 200","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T14:44:05.707840Z"
"Protesters (United States)","","United States","2020-06-06","USA8300","Protests",840,"Palo Alto","On 6 June 2020, thousands of people marched in a protest in Palo Alto (California) in support of the Black Lives Matter movement and against police brutality.","Peaceful protest",2020,262,"1","2025-07-30T14:46:02.426708Z",1204,115.8,"NA","NA","against:police brutality","national","thousands","anti-gov","thousands","100-999","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","1001_to_10000","none","no","2025-07-30T14:46:02.426731Z"
"Protesters (United States)","","United States","2020-06-06","USA8337","Protests",840,"Fort Lauderdale","On 6 June 2020, about 300 people marched in a protest in Fort Lauderdale (Florida) in support of the Black Lives Matter movement and against police brutality.","Peaceful protest",2020,263,"1","2025-07-30T14:47:31.337644Z",1205,85.207,"NA","NA","against:police brutality","national","about 300","anti-gov","about 300","100-999","police_brutality","","Black lives matter","no","[{""number"":300}]","ignore","","policy_change","","","","about 300","protest","commission","concentration","protest","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T14:47:31.337671Z"
"Protesters (United States)","","United States","2020-06-06","USA8499","Protests",840,"Fairfield","On 6 June 2020, a crowd staged a protest in Fairfield (Ohio) in support of the Black Lives Matter movement and against police brutality.","Peaceful protest",2020,264,"1","2025-07-30T14:48:50.253502Z",1206,77.799,"NA","NA","against:police brutality","national","a crowd","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:48:50.253535Z"
"Protesters (United States)","","United States","2020-06-06","USA8534","Protests",840,"Winchester","On 6 June 2020, several hundred people marched in a protest in Winchester (Tennessee) in support of the Black Lives Matter movement and against police brutality.","Peaceful protest",2020,265,"1","2025-07-30T14:50:15.033123Z",1207,81.956,"NA","NA","against:police brutality","national","several hundred","anti-gov","several hundred","100-999","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","several hundred","protest","commission","dispersion","protest","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T14:50:15.033144Z"
"Protesters (United States)","","United States","2020-06-06","USA8607","Protests",840,"Huntsville","On 6 June 2020, people rallied in protest in Huntsville (Texas) in support of the Black Lives Matter movement, against police brutality, and the death of George Floyd.","Peaceful protest",2020,266,"1","2025-07-30T14:50:53.447760Z",1208,36.997,"NA","NA","against:police brutality","national","","anti-gov","","","","","Black lives matter","no","","","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:50:53.447780Z"
"Protesters (United States)","","United States","2020-06-05","USA14710","Protests",840,"Montauk","On 5 June 2020, over 100 people took part in a protest in Montauk (New York) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,267,"1","2025-07-30T14:52:12.645970Z",1209,78.223,"NA","NA","against:police brutality","national","over 100","anti-gov","over 100","100-999","police_brutality","","Black lives matter","no","[{""number"":100}]","ignore","","policy_change","","","","over 100","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T14:52:12.645988Z"
"Protesters (United States)","Protesters (United States)","United States","2020-06-05","USA7656","Protests",840,"Bakersfield","On 5 June 2020, approximately 100 people supporting Black Lives Matter who were protesting in Bakersfield (California) over the killing of George Floyd by police. Between 100 and 150 people counter-protested.","Peaceful protest",2020,268,"1","2025-07-30T14:53:47.456386Z",1210,92.754,"NA","NA","against:police brutality","national","approximately 100","anti-gov","approximately 100","100-999","police_brutality","","Black lives matter","no","[{""number"":100}]","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:53:47.456409Z"
"Protesters (United States)","","United States","2020-06-04","USA7376","Protests",840,"Hilliard","On 4 June 2020, dozens of people supporting Black Lives Matter protested in Hilliard (Ohio) against police brutality and the death of George Floyd.","Peaceful protest",2020,269,"1","2025-07-30T14:54:57.884777Z",1211,68.646,"NA","NA","against:police brutality","national","dozens","anti-gov","dozens","50-99","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","dozens","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:54:57.884797Z"
"Protesters (United States)","","United States","2020-06-03","USA6861","Protests",840,"Lexington","On 3 June 2020, protesters assembled in support of the Black Lives Matter movement in Lexington (Kentucky).","Peaceful protest",2020,270,"1","2025-07-30T14:55:55.009226Z",1212,55.143,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T14:55:55.009249Z"
"Protesters (United States)","","United States","2020-06-03","USA7192","Protests",840,"Jacksonville","On 3 June 2020, between 250 and 300 people gathered in protest in Jacksonville (Texas) in support of the Black Lives Matter movement, against police brutality, and the death of George Floyd.","Peaceful protest",2020,271,"1","2025-07-30T14:57:13.211402Z",1213,74.838,"NA","NA","against:police brutality","national","between 250 and 300","anti-gov","between 250 and 300","100-999","police_brutality","","Black lives matter","no","[{""number"":250}]","ignore","","policy_change","","","","between 250 and 300","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T14:57:13.211424Z"
"Protesters (United States)","","United States","2020-06-03","USA7249","Protests",840,"Springfield","On 3 June 2020, about 50 people staged a protest in Springfield (Illinois) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,272,"1","2025-07-30T14:58:12.794149Z",1214,57.873,"NA","NA","against:police brutality","national","about 50","anti-gov","about 50","50-99","police_brutality","","Black lives matter","no","[{""number"":50}]","ignore","","policy_change","","","","about 50","protest","omission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","10_to_100","none","no","2025-07-30T14:58:12.794172Z"
"Protesters (United States)","","United States","2020-06-03","USA7114","Protests",840,"Stanwood","On 3 June 2020, around 20-30 people staged a protest in Stanwood (Washington) in support of the Black Lives Matter movement and against police brutality.","Peaceful protest",2020,273,"1","2025-07-30T14:59:29.136926Z",1215,68.415,"NA","NA","against:police brutality","national","around 20-30","anti-gov","around 20-30","","police_brutality","","Black lives matter","no","[{""number"":20}]","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","10_to_100","none","no","2025-07-30T14:59:29.136945Z"
"Protesters (United States)","","United States","2020-06-03","USA6931","Protests",840,"Upper Arlington","On 3 June 2020, about 500 people with Black Lives Matter attended a protest in Upper Arlington (Ohio) against police brutality and the death of George Floyd.","Peaceful protest",2020,274,"1","2025-07-30T15:00:29.696712Z",1216,58.023,"NA","NA","against:police brutality","national","about 500","anti-gov","about 50","50-99","police_brutality","","Black lives matter","no","[{""number"":50}]","ignore","","policy_change","","","","about 500","protest","commission","dispersion","protest","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","10_to_100","none","no","2025-07-30T15:00:29.696734Z"
"Protesters (United States)","","United States","2020-06-02","USA6357","Protests",840,"San Mateo","On 2 June 2020, in San Mateo (California), hundreds of people marched in protest over the killing of George Floyd by police. The protest was part of the Black Lives Matter movement. Several protests took place across San Mateo throughout the day.","Peaceful protest",2020,275,"1","2025-07-30T15:01:41.488070Z",1217,69.955,"NA","NA","against:police brutality","national","hundreds","anti-gov","hundreds","100-999","police_brutality","","Black lives matter","no","[{""number"":100}]","ignore","","policy_change","","","","hundreds","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T15:01:41.488092Z"
"Protesters (United States)","","United States","2020-06-02","USA6405","Protests",840,"Salem","On 2 June 2020, more than 200 people gathered peacefully as part of the Black Lives Matter movement in Salem (Oregon) to denounce the death of George Floyd. Protesters sang songs, chanted, and danced.","Peaceful protest",2020,276,"1","2025-07-30T15:02:40.706069Z",1218,57.427,"NA","NA","against:police brutality","national","more than 200","anti-gov","more than 200","100-999","police_brutality","","Black lives matter","no","[{""number"":200}]","ignore","","policy_change","","","","more than 200","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T15:02:40.706088Z"
"Protesters (United States)","","United States","2020-06-02","USA6611","Protests",840,"Canton","On 2 June 2020, dozens of people staged a protest in Canton (Illinois) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,277,"1","2025-07-30T15:03:50.819280Z",1219,67.444,"NA","NA","against:police brutality","national","dozens","anti-gov","dozens","50-99","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","dozens","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","10_to_100","none","no","2025-07-30T15:03:50.819303Z"
"Protesters (United States)","","United States","2020-06-02","USA6688","Protests",840,"Fort Myers","On 2 June 2020, an unreported number of people protested in Fort Myers (Florida) to honour the death of George Floyd and in support of the Black Lives Matter movement and against police brutality.","Peaceful protest",2020,278,"1","2025-07-30T15:04:36.455426Z",1220,44.632,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T15:04:36.455446Z"
"Protesters (United States)","","United States","2020-06-02","USA6381","Protests",840,"Dover","On 2 June 2020, more than 200 people held a Black Lives Matter protest in Dover (Delaware) against the death of George Floyd and Breonna Taylor.","Peaceful protest",2020,279,"1","2025-07-30T15:05:45.560284Z",1221,67.325,"NA","NA","against:police brutality","national","more than 200","anti-gov","more than 200","100-999","police_brutality","","Black lives matter","no","[{""number"":200}]","ignore","","policy_change","","","","more then 200","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T15:05:45.560308Z"
"Protesters (United States)","","United States","2020-06-02","USA6424","Protests",840,"Washington","On 2 June 2020, hundreds of protesters gathered along Route 47 and Bee Brook Road in Washington (Connecticut) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,280,"1","2025-07-30T15:06:43.529547Z",1222,56.169,"NA","NA","against:police brutality","national","hundreds","anti-gov","hundreds","100-999","police_brutality","","Black lives matter","no","[{""number"":100}]","ignore","","policy_change","","","","","","commission","dispersion","{""text"":[""pro"",""protest""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T15:06:43.529569Z"
"Protesters (United States)","","United States","2020-06-02","USA6548","Protests",840,"Lakewood","On 2 June 2020, protesters marched in Lakewood (Ohio) in support of the Black Lives Matter movement and against police brutality. Police officers joined the protesters and knelt with them.","Peaceful protest",2020,281,"1","2025-07-30T15:07:41.579714Z",1223,55.24,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","","","","","neutral","violent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T15:07:41.579735Z"
"Protesters (United States)","","United States","2020-06-01","USA5946","Protests",840,"Fort Myers","On 1 June 2020, an unknown number of demonstrators gathered for a peaceful protest organized by NAACP in front of the U.S. Federal Building in downtown Fort Myers (Florida) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd by police in Minneapolis.","Peaceful protest",2020,282,"1","2025-07-30T15:08:22.405874Z",1224,39.165,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","Black lives matter","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","none","no","2025-07-30T15:08:22.405895Z"
"Protesters (United States)","Police Forces of the United States (2017-2021)","United States","2020-06-01","USA6003","Protests",840,"San Luis Obispo","On 1 June 2020, over 2000 people including students staged a protest near Mitchell Park in San Luis Obispo (California) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Demonstrators also attempted to march on Highway 101 but 178 law enforcement members intervened after a 2-hour standoff, using teargas and pepper bullets to disperse the demonstrators after the group reportedly refused to leave the area. Neither injuries nor arrests were reported.","Protest with intervention",2020,283,"1","2025-07-30T15:09:43.741982Z",1225,78.86,"property_damage_or_clashes","physical_intervention","against:police brutality","national","over 2000","anti-gov","over 2000","2000-4999","police_brutality","","Black lives matter","yes","[{""number"":2000}]","crowd_dispersal","","policy_change","","","","over 2000","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","1001_to_10000","non_lethal","no","2025-07-30T15:09:43.742007Z"
"Protesters (United States)","","United States","2020-05-31","USA5647","Protests",840,"Bryan","On 31 May 2020, more than 600 people staged a protest in Bryan (Texas) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,284,"1","2025-07-30T15:10:58.710732Z",1226,73.216,"NA","NA","against:police brutality","national","more than 600","anti-gov","more than 600","100-999","police_brutality","","Black lives matter","no","[{""number"":600}]","ignore","","policy_change","","","","more than 600","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-30T15:10:58.710751Z"
"Rioters (Palestine)","Military Forces of Israel (2009-2021)","Palestine","2019-07-26","PSE5906","Riots",275,"Kafr Qaddum","On 26 July 2019, Palestinians threw stones at Israeli forces during a demonstration at the eastern entrance of Kafr Qaddum village (Qalqilya) against the continued closure of the entrance and the construction of settlements. Israeli forces replied by firing rubber-coated metal bullets, stun grenades, and tear gas canisters. Three residents were injured, and several suffered from tear gas inhalation.","Violent demonstration",2019,285,"1","2025-07-31T09:45:28.533535Z",1227,113.333,"property_damage_or_clashes","physical_intervention","against:israeli regime","national","","anti-gov","","","political_behavior_process","","palestinians","yes","","shootings","","anti_occupation","","","","","","","","","","violent","throwing rocks","yes","no_escalation","anti_gov_violence","","ethnic_discrimination","","","unknown","non_lethal","no","2025-07-31T09:45:28.533556Z"
"Protesters (China)","","China","2019-07-08","CHN700","Protests",156,"Shinan","As reported on 8 July 2019, as many as 100 delivery workers protested in Qingdao, Shandong to demand for wage arrears owed to them by a delivery company.","Peaceful protest",2019,286,"1","2025-07-31T09:48:11.968403Z",1228,160.214,"NA","NA","for:wages","NA (only non-gov)","as many as 100","non-gov target","as many as 100","50-99","political_behavior_process","","delivery workers","no","","ignore","","policy_change","","","","as many as 100","protest","commission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","10_to_100","none","no","2025-07-31T09:48:11.968424Z"
"Protesters (China)","","China","2019-07-07","CHN693","Protests",156,"Tianjin","As reported on 7 July 2019, as many as 100 workers protested in Tianjin to demand for wage arrears owed to them by a construction company.","Peaceful protest",2019,287,"1","2025-07-31T09:50:33.004926Z",1229,139.162,"NA","NA","for:wages","NA (only non-gov)","as many as 100","non-gov target","as many as 100","50-99","labor_wage_dispute","","construction workers","no","[{""number"":100}]","ignore","","policy_change","","","","as many as 100","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","10_to_100","none","no","2025-07-31T09:50:33.004949Z"
"Protesters (China)","","China","2019-06-26","CHN3369","Protests",156,"Guangzhou","As reported on 26 June 2019, as many as 100 workers protested in Guangzhou, Guangdong to demand almost 400,000 RMB worth of wage arrears owed to them by a garment factory.","Peaceful protest",2019,288,"1","2025-07-31T09:52:09.438974Z",1230,94.058,"NA","NA","for:wages","NA (only non-gov)","as many as 100","non-gov target","as many as 100","50-99","labor_wage_dispute","","workers","no","[{""number"":100}]","ignore","","policy_change","","","","as many as 100","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","10_to_100","none","no","2025-07-31T09:52:09.438996Z"
"Protesters (Serbia)","","Serbia","2019-04-06","SRB845","Protests",688,"Backa Palanka","On 6 April 2019, in Backa Palanka, Serbia, members of the '1 of 5 Million' group held a peaceful anti-government rally . The protest is a part of anti-government demonstrations happening throughout the country since the end of November, motivated by an attack on an opposition leader.","Peaceful protest",2019,289,"1","2025-07-31T09:54:33.021949Z",1231,112.987,"no_violence","NA","against:regime","national","","anti-gov","","","political_behavior_process","","'1 of 5 Million' group","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","elections","","","unknown","none","no","2025-07-31T09:54:33.021972Z"
"Protesters (China)","","China","2019-03-20","CHN505","Protests",156,"Chikan","As reported on 20 March 2019, as many as 100 workers protested in Zhanjing City (Guangdong) to demand for wage arrears owed to them for more than 10 months by a food company.","Peaceful protest",2019,290,"1","2025-07-31T09:56:44.770929Z",1232,123.674,"NA","NA","for:wages","NA (only non-gov)","as many as 100","non-gov target","as many as 100","50-99","labor_wage_dispute","","workers","no","[{""number"":100}]","ignore","","policy_change","","","","as many as 100","protest","commission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","10_to_100","none","no","2025-07-31T09:56:44.770964Z"
"Protesters (United States)","Police Forces of the United States (2017-2021)","United States","2020-05-31","USA5302","Protests",840,"Charleston","On 31 May 2020, a Black Lives Matter rally was held in Marion Square in Charleston (South Carolina) to protest the death of George Floyd. Police intervened and said the gathering was illegal because the protestors lacked a permit. Officers then arrested 35 people.","Protest with intervention",2020,291,"1","2025-07-31T09:58:27.411916Z",1233,97.143,"NA","presence_only","against:police brutality","national","","anti-gov","","","political_behavior_process","","Black lives matter","no","","crowd_dispersal","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","non_lethal","no","2025-07-31T09:58:27.411935Z"
"Protesters (United States)","","United States","2020-05-30","USA4886","Protests",840,"Monterey","On 30 May 2020, hundreds of people demonstrated in Monterey (California) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd.","Peaceful protest",2020,292,"1","2025-07-31T10:00:43.347394Z",1234,126.185,"NA","NA","against:police brutality","national","hundreds","anti-gov","Hundreds","100-999","political_behavior_process","","Black lives matter","no","[{""number"":100}]","ignore","","policy_change","","","","Hundreds","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","101_to_1000","none","no","2025-07-31T10:00:43.347416Z"
"Protesters (Pakistan)","","Pakistan","2020-04-15","PAK56945","Protests",586,"Kamoke","On 15 April 2020, large number of journalists, workers and several political figures held a protest in front of jang group office in Kamoke city (Gujranwala, Punjab), against illegal and unjust arrest of Jang/Geo Group Editor-in-Chief and demanded his release. He was arrested in connection with an accountability case, however his arrest is believed to be an attack on media freedom.","Peaceful protest",2020,293,"1","2025-07-31T10:04:39.349839Z",1235,237.494,"NA","NA","against:illegal arrest","national","a large number","anti-gov","a large number","","police_brutality","","Journalists and politicians","no","","ignore","","policy_change","","","","","","","","","neutral","","","yes","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-31T10:04:39.349859Z"
"Protesters (Pakistan)","","Pakistan","2020-03-20","PAK56613","Protests",586,"Badin","On 20 March 2020, journalists held a protest in Badin city (Badin, Sindh), against the arrest of editor-in-chief of the News International, Jang and Geo news and demanded his release.","Peaceful protest",2020,294,"1","2025-07-31T11:07:28.878372Z",1236,108.959,"NA","NA","against:arrest","national","","anti-gov","","","police_brutality","","journalists","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-31T11:07:28.878393Z"
"Protesters (Iran)","","Iran","2020-12-13","IRN8247","Protests",364,"Ilam","On 13 December 2020, retirees and pensioners under the Social Security Organization of Iran protested in front of the Social Security Organization administrative building in the city of Ilam over dissatisfaction with various aspects of their pensions and benefits, their management, and perceived haphazard equalization.","Peaceful protest",2020,295,"1","2025-07-31T11:09:27.451296Z",1237,95.085,"NA","NA","for:wages and pensions","national","","anti-gov","","","labor_wage_dispute","","retirees and pensioners","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-31T11:09:27.451319Z"
"Protesters (Poland)","","Poland","2020-11-14","POL1637","Protests",616,"Szczecin","On 14 November 2020, activists, mostly women, gathered for a rally in Szczecin, protesting against restrictions of abortions in Poland. The event was coordinated by the Women's Strike.","Peaceful protest",2020,296,"1","2025-07-31T11:10:52.991387Z",1238,81.882,"NA","NA","against:abortion restrictions","national","","anti-gov","","","social_restriction","","womens strike","no","","ignore","","policy_change","","","","","protest","commission","concentration","rally","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","female_event","human_rights_democracy","","","unknown","none","no","2025-07-31T11:10:52.991411Z"
"Protesters (Poland)","","Poland","2021-08-10","POL2849","Protests",616,"Kopalino","On 10 August 2021, activists gathered for a rally in Kopalino, protesting against the alleged harmful pressure of the government against independent media. It was a part of a large string of rallies, coordinated by the KOD movement, and was triggered by the attempt of the ruling party to restrict foreign ownership of media in Poland.","Peaceful protest",2021,297,"1","2025-07-31T11:13:19.414678Z",1239,143.891,"NA","NA","against:media censorship","national","","anti-gov","","","political_behavior_process","","activisits","no","","ignore","","policy_change","","","","","protest","commission","concentration","rally","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-31T11:13:19.414696Z"
"Protesters (China)","","China","2021-07-21","CHN10553","Protests",156,"Baoying","Around 21 July 2021 (as reported), 13 workers protested in Baoying county (Yangzhou, Jiangsu) to demand wage arrears for a construction project.","Peaceful protest",2021,298,"1","2025-07-31T11:15:02.925985Z",1240,99.424,"NA","NA","for:wages","NA (only non-gov)","13","non-gov target","13","","labor_wage_dispute","","workers","no","[{""number"":13}]","ignore","","policy_change","","","","13","protest","commission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","10_to_100","none","no","2025-07-31T11:15:02.926008Z"
"Protesters (Pakistan)","","Pakistan","2021-07-18","PAK68491","Protests",586,"Shikarpur","On 18 July 2021, activists of PPP held a protest demonstration in Shikarpur city (Shikarpur, Sindh), against the federal minister's remarks against former prime minister Zulfiqar Ali Bhutto.","Peaceful protest",2021,299,"1","2025-07-31T11:17:42.462991Z",1241,117.284,"NA","NA","against:federal minister","national","","anti-gov","","","political_behavior_process","","activists of PPP","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-31T11:17:42.463013Z"
"Protesters (Brazil)","","Brazil","2021-07-03","BRA43167","Protests",76,"Ipatinga","On 3 July 2021, in Ipatinga, Minas Gerais, people carried out a protest to demand the resignation of President Jair Bolsonaro (no party), mass vaccination for the coronavirus and the payment of an emergency allowance during the coronavirus pandemic.","Peaceful protest",2021,300,"1","2025-07-31T11:22:23.622812Z",1242,278.309,"NA","NA","for:resignation of president","national","","anti-gov","","","political_behavior_process","","","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-31T11:22:23.622834Z"
"Protesters (Brazil)","","Brazil","2021-07-03","BRA43173","Protests",76,"Ouro Preto","On 3 July 2021, in Ouro Preto, Minas Gerais, people carried out a protest to demand the resignation of President Jair Bolsonaro (no party), mass vaccination for the coronavirus and the payment of an emergency allowance during the coronavirus pandemic.","Peaceful protest",2021,301,"1","2025-07-31T15:25:47.378928Z",1243,787.694,"NA","NA","against:president","national","","anti-gov","","","political_behavior_process","","","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","elections","","","unknown","none","no","2025-07-31T15:25:47.378955Z"
